Species	Group.x	Median_S.x	LCI_S.x	UCI_S.x	Median_W.x	LCI_W.x	UCI_W.x	Median_diff.x	LCI_diff.x	UCI_diff.x	Group.y	Median_S.y	LCI_S.y	UCI_S.y	Median_W.y	LCI_W.y	UCI_W.y	Median_diff.y	LCI_diff.y	UCI_diff.y	Group	Median_S	LCI_S	UCI_S	Median_W	LCI_W	UCI_W	Median_diff	LCI_diff	UCI_diff
Rufous Treepie	0	43.75	41.25	47.25	47.25	46	49.25	-3.5	-6.4625	0.275937500000005	1	331	309.5	369	411.5	402.5	419.333333333333	-79.75	-102.209375	-42.115625	0	1051.7125	1031	1073.75625	1039.25	1019.75	1060.2015625	13.6416666666661	-15.2246875000004	47.2179791666666
White-rumped Munia	0	45.96875	33.5	60.3341666666667	41.0125	35.5	50.5016666666667	2.19583333333334	-13.9446875	16.551875	0	719.166666666667	646.375	745.25	702.666666666667	696.2	720.5	13.3333333333334	-58.9166666666666	44.8995833333332	0	1106.37916666667	1003.5771875	1176.67125	1085.35833333333	1038.12333333333	1139.285	-0.256250000000705	-103.652395833333	101.724375
Black-rumped Flameback	0	50.55	47.25	55.2525	48.75	46.75	52.62625	1.225	-3.77520833333332	8.20187499999999	0	478.625	437.25	489.25	461.5	423.833333333333	479.5	14.5	-24.25	53.8333333333333	2	1230.75	1230.75	1238.25	1177.33333333333	1177.33333333333	1177.33333333333	53.4166666666667	53.4166666666667	60.9166666666667
Orange-headed Thrush	2	49.28125	47.0871875	57.7175	45.21625	42.5	47.81625	4.73500000000001	0.391562499999999	12.725625	2	864.875	826.333333333333	896.333333333333	431.625	305.390625	500.25	430.166666666667	352.74375	562.6	0	1411.75	1411.75	1411.75	1411.75	1367.93875	1411.75	0	0	43.8112500000007
Indian Peafowl	0	91.25	82.75	91.25	85	83.5	91.25	4.53958333333333	-5.25125	7.75	0	479.5	476.25	489.25	479.5	479.5	479.5	0	-3.25	9.75	2	1230.9125	1230.75	1251.35729166667	1127.5	1126.571875	1146	103.25	88.645000000001	126.708333333331
Red-whiskered Bulbul	0	62.17	59.25	66.0534375	62	55.74875	66.25	-0.0625000000000036	-6.03458333333332	7.6890625	2	956.541666666667	949.373125	961	898.25	891.5	905.25	57.4166666666666	48.6666666666667	65.3049999999999	2	2101.5	2095.4875	2105.57916666667	1954.4	1950	1964.8525	147.1125	135.3293125	151.868124999998
Indian Robin	0	110	93.9475	124.726875	124.5	115.899375	143.5	-18.0166666666667	-42.4009375	6.06437499999997	0	489.25	489.25	489.25	489.25	489.25	489.6	0	-0.350000000000023	0	2	1647.9	1630.36666666667	1665.03822916667	997.325	965.179166666667	1005.5925	653.383333333333	631.441375	686.554583333333
Asian Koel	0	30.25	21.3333333333333	32.75	32.75	32.75	42.5	-4.04375	-14.4344791666667	0	1	402.333333333333	402.333333333333	402.333333333333	415.5	411.5	419.333333333333	-13.1666666666667	-17	-9.16666666666669	2	1074.70833333333	1043.6309375	1118.3640625	1002.58125	963.666666666667	1035	74.7687500000003	27.7441666666667	131.4578125
Brown-headed Barbet	0	19.05	12.25	32.75	12.25	12.25	12.25	6.80000000000001	0	20.5	0	479.5	479.5	488.25	479.5	479.5	479.5	0	0	8.75	2	2139.33333333333	2139.33333333333	2139.67083333333	1251.45	1230.05833333333	1270.075	887.883333333334	869.258333333334	909.275
Indian Pond-Heron	0	32.75	32.75	35.2161458333333	33.5333333333333	32.75	39.0003125	-0.618750000000006	-6.25	1.3671875	1	415.5	406.25	415.5	460.75	419.333333333333	461.5	-45.75	-54.2520833333333	-6.996875	2	1603	1603	1616.225	1209.75	1209.75	1217.25	393.25	385.75	406.474999999999
Spotted Dove	0	51.8	46	60.65125	62.6666666666667	53.1316666666667	68.3333333333333	-10.73125	-19.5007291666667	3.278125	2	944	936.61875	954.25	765.666666666667	752.25	774.25	179.5625	167.741666666667	195.55125	2	2075.21875	2060.75	2088.075	1696.3	1676.5	1717.3	377.062499999999	349.350000000001	400.760000000001
House Sparrow	0	119.95	38.4996875	272.668125	116.5	32.75	209.4534375	1.84375000000003	-148.8278125	183.254166666667	2	1129.75	1073.66666666667	1179.834375	875.75	853	894	254.75	197.3125	311.377083333333	2	2248	2248	2248	2225.75	2225.475	2225.75	22.25	22.25	22.5250000000001
Yellow-footed Green-Pigeon	0	84.375	71	91.50125	91.25	65.4	152.293125	-15.09375	-70.2059375	22.141875	0	726.25	653.75	881.416666666667	747.8	688.5	854	-32.5916666666667	-170.425	151.622916666667	0	1037.45833333333	997.25	1144.6875	1047.05	997.29875	1101.5145	-1.60041666666655	-84.04775	112.571666666667
Loten's Sunbird	2	64.475	58.5541666666667	70.75	54.3791666666667	48.5316666666667	55.70125	10.8291666666667	5.08333333333334	19.825625	2	760.25	749	778.333333333333	619	582.83125	682.75	138.979166666667	78.331875	179.1525	0	1175.60833333333	1114.1328125	1244.5625	1139.66666666667	1095.96875	1141.4390625	41.4833333333327	-19.5851041666669	123.444062499999
Bar-winged Flycatcher-shrike	0	140.8375	133.535229166667	199.933875	118.98	79.0773958333333	159.8559375	26.9375	-15.753125	103.8984375	2	1175.16666666667	1135.6	1230.75	1058.25	1018.5	1096	122.208333333333	45.5999999999999	200.20625	1	2120.6625	2114.75	2130.34166666667	2175	2175	2175	-54.3374999999996	-60.25	-43.9666666666667
Indian Scimitar-Babbler	0	498.5	465.58	526.25	537.22	477.9	571.975	-37.25	-83.7841875	28.3528125	0	1177.33333333333	1177.33333333333	1191.875	1177.33333333333	1146	1177.33333333333	2.33333333333348	0	37.00625	2	2035.5	2035.5	2035.5	1937.4	1932.83333333333	1946.33333333333	98.1000000000004	89.1666666666667	102.666666666667
Crimson-backed Sunbird	2	91.6166666666667	81.261875	97.6078125	77.1266666666667	67.7346875	77.6666666666667	17.25	6.34500000000002	28.3845833333333	2	996.5	976.5	1019.128125	899.75	885	918.75	96.75	70.8739583333333	124.125	2	1654.6625	1647.4	1667.4075	1551.41875	1545.3109375	1554	104.791666666667	95.4431249999971	118.602499999997
Malabar Gray Hornbill	0	47.25	44.3875	54.5375	46.7166666666667	42.825	49.3333333333333	0.427083333333336	-3.23458333333334	7.65375	2	776.5	757.326041666667	784.4	720.666666666667	655.75	731.1875	56.4166666666667	36.25	120.75625	1	1146.7	1138.49625	1163.75	1170.41875	1153.6559375	1185	-23.1375	-38.8331249999993	-2.07124999999961
Yellow-browed Bulbul	2	83.05	76.6666666666667	91.25	75.2858333333334	69.54875	77.6666666666667	6.67708333333333	0.423125000000011	17.2134375	2	947.125	929	959	898.25	885.194375	918.5	48.5833333333334	22.3274999999999	68.878125	2	1571.8125	1563.8	1582.25	1550.9375	1534.66666666667	1555.2	22.4312500000002	9.79999999999995	41.0362499999998
Pale-billed Flowerpecker	0	50.9666666666667	44	55.25	55.25	50.3333333333333	60.00125	-3.68541666666667	-11.25	4.1384375	0	419.333333333333	411.5	427.25	453.083333333333	419.333333333333	468	-32.5833333333334	-50.053125	1.45937499999998	0	1139.66666666667	1097.42375	1171.325	1139.66666666667	1139.65908333333	1148.805	0	-42.2429166666669	31.2208333333331
Gray Junglefowl	1	55.25	47.25	65.3002083333333	77.6666666666667	74	85.601875	-22.4166666666667	-33.8296875	-11.9161666666667	0	996.5	969.5	1014.50208333333	969.25	956.1125	984.634375	26.8958333333333	0	52.003125	2	2035.5	2035.5	2035.5	1992	1976.535	2001.33333333333	43.5	34.1666666666667	58.9650000000016
Blue-tailed Bee-eater	0	18.1125	12.46	35.9375	22.3125	12.25	39.0625	-3.2375	-22.101875	16.6803125	1	377.25	304.75	397.254166666667	406.25	406.25	406.25	-29	-101.5	-8.99583333333345	0	829.6	724.6	870.135625	833.414999999999	752.625	897.825625	-5.03124999999943	-115.4341875	92.2496875000002
Bronzed Drongo	2	54.60125	48.5125	57.8503125	47.74375	46	50.1834375	6.5	0.198125000000003	10.6409791666667	0	517	479.5	579.75	479.5	479.5	518.5	33.5	-20.640625	94.5125	1	1135.6	1133.2535	1135.7125	1203.25	1187.7421875	1209.75	-67.6500000000001	-74.1500000000001	-52.1421875000001
Flame-throated Bulbul	0	49.65	46.3475	55.25	51.40625	48.8995833333333	55.25	-2.13333333333333	-7.1875	4.92041666666666	0	338.625	286.9125	458	375.5125	303.722916666667	456.75	-39.5208333333334	-139.18125	86.3333333333333	0	1090	1089.75	1124.1125	1111.2	1093.99375	1125.66666666667	-15.25	-35.9166666666667	17.2028125000001
Common Iora	1	32.75	27.540625	33.2525	50.9666666666667	48.1828125	55.25	-18.25	-25.5925	-15.6239583333333	2	658.375	619	702.666666666667	586.416666666667	562	607.5	70.5625	20.39	121.166666666667	0	1125	1102.9115625	1149.7875	1131.73333333333	1101.30885416667	1158.251	-3.64833333333365	-40.1034999999961	37.1361874999997
White-browed Bulbul	0	36	21.3333333333333	80.9340625	77.6666666666667	71.4233333333333	94.1671875	-43.2458333333333	-63.8941666666667	2.74645833333334	0	489.25	479.5	489.25	479.5	479.5	479.709375	9.75	0	9.75	2	1069.225	1022.043125	1154.55	1017.21875	977.8714375	1046.66666666667	58.6375000000002	0.251354166666216	150.456354166667
Blue-faced Malkoha	0	51.0625	34.75	86	57.1520833333333	50.975	84.3341666666667	-8.66458333333333	-38.7667708333333	26.616875	0	472.5	425.125	479.5	479.5	479.5	479.5	-7	-54.375	0	2	1013.3125	925.42875	1177.675	864.25	824.666458333333	880.478125	154.83125	58.6892708333332	314.7815
Chestnut-headed Bee-eater	0	73.58125	68.4958333333333	83.46625	65.3791666666667	56.036875	74	9.21666666666667	-0.283749999999985	21.0404166666667	2	1055.33333333333	1022.25	1076.503125	825.75	810.75	849.11	226.9375	186.25	262.835416666667	2	1657.13333333333	1629.29458333333	1682.94166666667	1314.975	1311.41333333333	1347.13333333333	335.403749999999	297.265833333333	368.710625
Dark-fronted Babbler	0	74	60.764375	74.376875	72.5	57.5	77.6839166666667	1.0625	-12.375	16.5041666666667	0	908.125	863.6	958	898.541666666667	878.5	956.295833333333	9.50000000000006	-54.3822916666666	66.1775	0	1464.2625	1411.75	1483.675	1411.75	1411.75	1411.75	52.5124999999996	0	71.9249999999997
Orange Minivet	0	88.0208333333333	79.1236458333333	91.25	75.3	71.8246875	84.359375	11.6604166666667	-0.6259375	18.2565625	0	864	852.2	871.878125	860.25	839.661458333333	860.5	6.75	-4.55625000000007	27.3333333333334	0	1571.325	1554.935	1586.26666666667	1588.15	1558.32	1592.33333333333	-9.57499999999914	-28.535	18.637875000001
Malabar Whistling-Thrush	2	91.5	91.25	98.0925	77.5	71.39875	85.3046875	16.05	6.29875000000001	25	2	1135.6	1127.5	1139.5	1086.75	1074.33333333333	1089.75	48.8499999999999	37.9166666666667	61.2666666666667	0	1632.33333333333	1628.7375	1632.33333333333	1602.2	1599.8134375	1633.4125	29.8666666666668	-1.0791666666662	32.3875
Gray-fronted Green-Pigeon	0	32.75	32.75	47.75	47.8125	41	55.25	-14.5	-22.5	4.13583333333333	0	721.479166666667	649.75	756.75	655.75	624.69375	720.666666666667	58.8	-19.7697916666667	119.753125	2	1251.8625	1231.6796875	1276.768125	1230.75	1226.4840625	1230.75	21.5500000000001	0.929687499999995	47.3877083333328
Ashy Woodswallow	0	27.25	19.2348958333333	36.6670833333333	18	14.0334375	28.5310416666667	9.02083333333333	-4.77447916666666	19.1896875	2	559.5	490	591.75	419.333333333333	402.5	419.333333333333	140.166666666667	70.6666666666667	175.338541666667	2	1553.15	1445.560625	1577.2125	1112.725	1076.2596875	1139	430.745833333332	314.722499999994	488.201875
Little Spiderhunter	0	71.125	64.948125	78.5	62.125	55.25	78.29375	8.37749999999999	-9.6155625	22.37625	2	918	887.727083333333	950.272916666667	868.5	840.08125	891.0125	44.7916666666667	10.7916666666667	91.509375	0	1411.75	1389.3640625	1411.75	1411.75	1411.75	1411.75	0	-22.3859375000004	0
Vernal Hanging-Parrot	0	55.25	48.283125	63.8389583333333	51	48.774375	55.25	4.39375000000003	-5.0603125	13.289375	0	794.25	787.322916666667	798	789.375	774.25	810.75	3.75	-17.25	18.11	2	1452.75	1428.05145833333	1459.33333333333	1343.3	1324.623125	1358.675	111.7	85.821770833333	128.783750000001
Nilgiri Flowerpecker	2	97.3333333333333	91.7154166666667	104.3390625	77.6666666666667	77.6666666666667	77.6666666666667	19.6666666666667	14.04875	27.6865625	2	1064.375	1058.25	1073.75	1039.25	1022.33333333333	1052	28.4166666666667	10.9156250000001	47.175	2	2035.5	2035.5	2035.5	1788.4	1788.4	1788.4	247.1	247.1	247.1
Tickell's Blue Flycatcher	0	74.8625	70.6	80.0046875	74.1666666666667	64.675	77.6666666666667	1.46666666666667	-6.61866666666667	13.0941666666667	2	797.583333333333	769.75	839.666666666667	720.5	671.875	720.666666666667	90.0833333333334	49.7333333333333	141.890625	2	1905.19	1853.0603125	1911.1949375	1788.4	1720.825	1788.4	118.12	64.8375000000001	185.197125
Common Woodshrike	0	67.9583333333333	61.1203125	91.25	85	83.5	100.5696875	-19.1166666666667	-36.321875	4.34593750000001	1	419.333333333333	340.9625	462	479.5	479.5	479.5	-60.1666666666667	-138.5375	-17.5	0	959	913.777499999999	988.1740625	1002.875	957.499375	1019.550625	-42.2949999999998	-91.3029374999997	11.2229166666666
Yellow-throated Sparrow	0	13.7	10.5	31.6083333333333	8.45833333333333	8.25	10.5	4.60208333333333	0	22.1078125	2	551.25	489.25	691.125	468	276.25	489.25	126.1875	9.75	349.210416666667	0	1008.725	959	1031	999.725	994.51375	1025.58333333333	3.66875000000005	-40.4478125	33.25
Purple Sunbird	1	32.75	32.75	32.75	46.75	42.25	51.00125	-14	-18.25125	-9.5	1	465.8125	436.5	479.5	544.75	533	580.0125	-85.8958333333333	-130.404166666667	-58	2	1751.15	1710	1778.66666666667	1479.6	1479.6	1479.6	271.55	230.4	299.135
Plum-headed Parakeet	0	54.875	48.5327083333333	63.25125	54.2875	49.75	62.2347916666667	0.666666666666668	-8.5278125	9.643125	0	832.583333333333	811.75	860.5	804.5	767.75	832	34.75	-11.2135416666666	76.0010416666667	2	1266.1	1240.0375	1270.5	1230.75	1230.75	1230.75	35.349999999999	9.28749999999991	39.75
Long-tailed Shrike	2	489.25	489.25	489.25	365.6875	284	469.2025	123.5625	20.0475	205.25	0	1177.33333333333	1177.33333333333	1230.75	1177.33333333333	1146	1177.33333333333	19.9166666666667	0	78.0510416666667	2	2125.2625	2125.25	2126.19166666667	2078.2	2078	2083.525	47.1083333333331	41.7250000000004	48.0424999999994
Indian Roller	2	153	115.75	194.659895833333	19.05625	10.5	42.401875	132.70625	81.749375	178.375	2	436.5	421.625	436.5	414.333333333333	401.333333333333	419.333333333333	21.5833333333334	9.25	35.1916666666667	2	972.387499999999	954.25	1049.015	876.508333333333	822.586666666665	921.815	106	42.0979166666672	195.7855
Thick-billed Flowerpecker	0	21.3333333333333	21.1708333333333	21.3333333333333	39.7125	17.9246875	55.25	-18.4041666666667	-33.9166666666667	3.40833333333333	0	541.875	479.5	597.916666666667	607.5	516.5	619	-52.4375	-139.5	56.05	2	1551.74	1408.4023125	1563.8	1235.6875	1186.9884375	1245.8875	316.77125	168.612500000001	373.785
White-bellied Blue Flycatcher	2	99.05	77.3975	142.00175	55.25	55.25	55.8125	43.8	22.115	86.75175	2	996.5	968	1022.4875	789.25	702	884.646875	207.25	99.8385416666667	294.5	0	1512.7125	1447.89520833333	1553.55	1523.4375	1490.11333333333	1576.875	-19.2750000000003	-96.1726041666663	42.1912083333325
Indian Blackbird	2	595.95	467.875	757.947604166667	66.25	49.67375	91.25	523.03125	404.789375	692.241979166667	2	1782.16666666667	1761.41666666667	1814.33333333333	1085	1056.584375	1127.5	705.333333333333	652.166666666667	740.91875	2	2324.18333333333	2322.8	2324.98333333333	2175	2175	2175	149.183333333333	147.8	149.983333333333
Yellow-wattled Lapwing	0	30.3875	18.25	262.615625	57.3	20.075	339.9571875	-22.2	-303.210625	203.996875	1	644.25	632	657.25	702.666666666667	702.666666666667	702.666666666667	-58.4166666666666	-70.6666666666666	-45.4166666666666	0	951.6125	916.14875	967.375	946.75	921.2	957.3821875	5.35124999999994	-31.80625	32.9451041666667
Tawny-bellied Babbler	0	147.775	124.5	268.7021875	231.7875	167.4	306.0946875	-75.6125	-149.0496875	59.7132499999999	2	764.5	702.666666666667	859.333333333333	623.75	619	702.666666666667	126.9375	31.5583333333334	238.127083333333	1	1617	1538.525	1657.875	1822	1822	1822	-205	-283.475000000002	-164.125
Small Minivet	0	91.25	86.1	97.3333333333333	68.4	56.26625	97.3333333333333	22.40625	-6.08333333333333	35.4014583333333	0	691.75	631.25	706	696.2	642	706.878125	0	-68.6666666666666	60.6666666666666	0	1205.8	1146.8975	1219.9375	1230.75	1208.545625	1232.22916666667	-20.50625	-82.826875	7.5125000000005
Brahminy Starling	2	124.5	118.0625	147.1	109.38125	85.124375	119.991625	16.8875	2.759	47.8459374999998	2	714.458333333333	702.666666666667	849.794791666667	619	524.25	699.75	108.166666666667	14.1354166666666	252.584583333333	0	1016.5625	997.275	1031	1006.4575	997.0984375	1054.491875	5.14999999999998	-40.5099999999992	33.32625
Black-hooded Oriole	1	30.725	21.3333333333333	32.75	40.575	35.59875	42.5	-9.75	-20.7954166666667	-3.7746875	1	124.5	124.484375	127.41875	159.25	144	178.333333333333	-34.75	-53.8333333333333	-19.371875	0	997.25	939.149374999998	1018.9634375	954.8	920.972499999999	991.780416666665	40.3	-22.3162499999999	85.4165624999999
Large-billed Crow	0	62.7591666666667	61	68.4066666666667	60.90625	54.7484375	62	4	-0.612812500000004	11.4878125	2	816.75	810.75	843.5	754.333333333333	737.916666666667	767.75	64.1333333333333	46.5	91.176875	0	2107.70833333333	2090.1	2113.33333333333	2085.75	2078.11625	2093.9625	20.4895833333312	-1.97229166666527	33.1346875000007
Square-tailed Bulbul	2	765	745.666666666667	796.368333333333	656	564.6880625	738.3090625	104.75625	11.9166666666666	194.085	2	1387	1377.978125	1395.5	1236	1230.75	1253.61041666667	156	133.145833333333	164.75	2	2151.75	2144.98875	2151.75	2113.16666666667	2102.075	2116	38.25	30.6150000000001	49.25
Baya Weaver	0	71	38.875	188.452708333333	142.125	16.05	264.9175	-58.6625	-206.079625	105.28125	0	490.666666666667	461.5	623.25	465	437.9375	484.55	28.6333333333333	-18.125	160	0	968.791666666667	831.544375	1036.88333333333	903	761.047499999999	934.4	65.4749999999999	-83.0985416666666	209.115833333333
Asian Fairy-bluebird	2	78.6	74	91.25	58.7625	55.25	66.25	21.475	8.99916666666667	35.75	0	846.333333333333	825.75	864.3	847.5	825.75	876.5	0	-40.0020833333333	34.046875	0	1411.75	1411.75	1411.75	1411.75	1411.75	1411.75	0	0	0
Jungle Myna	2	371.375	252.3875	431.234375	93.9125	90.5990625	153.4690625	270.083333333333	146.3153125	334.633333333333	2	1169.625	1146	1177.33333333333	959	942	965	211.925	182.833333333333	231.74	2	2195.8125	2189.33333333333	2202.54833333333	2078.3	2073.7190625	2085.3359375	116.541666666666	106.605312499999	124.877395833333
White-breasted Waterhen	0	43.75	40.525	45.750625	45.9333333333333	41.149375	46.75	-2.25	-6.15052083333333	2.1890625	2	479.5	465.45625	581.5	461.5	419.333333333333	476	21.75	1.99583333333333	127.416666666667	2	1489.8575	1458.098875	1516.25	1242.20624999999	1230.5875	1456.7	237.528749999999	25.5265833333333	282.451875
Asian Woolly-necked Stork	0	43.75	21.6733333333333	87.25	38.4166666666667	25.4583333333333	67.1666666666667	5.73541666666667	-23.676875	52.4417708333333	0	581.5	419.333333333333	664.625	634.333333333333	581.488541666667	704.85	-66.375	-222.057291666667	30.3124999999999	2	1072.9	1032.061875	1103.25	962.683333333333	953.555	1062.08333333333	101.8125	0.680416666666833	140.495
Ashy Prinia	2	267.4375	260.2	284	143.5	131.57875	183.1175	123.410416666667	91.5609375	143.97875	2	702.666666666667	642	767.75	461.5	453.083333333333	479.5	241.166666666667	182.571875	306.25	2	2035.5	2035.5	2035.5	1968.5	1934.86666666667	2006	67	29.5000000000009	100.633333333334
White-rumped Shama	0	101.25	71.12625	234.355416666667	104.004166666667	75.629	302.526875	0.735416666666659	-156.105729166667	129.859645833333	2	825	778.333333333333	870.659375	696.2	687.25	753.140625	107.083333333333	29.1406250000001	176.80375	2	1698.125	1688.9	1729.475	1495.55	1246.2034375	1574.5625	206.408333333334	122.856041666667	459.065104166668
Greater Racket-tailed Drongo	0	41.73125	39.0365625	46	46	43.75	46.75	-4.25	-7	0	2	687.25	664.333333333333	702	603	580.8625	637.875	78.9166666666666	42.859375	107.00625	1	1163.75	1148.75	1183.485	1191.9375	1186.75	1209.6253125	-29.1	-48.5451041666658	-7.99312499999999
Gray-headed Bulbul	2	74	70.3875	74.4390625	47	42.04875	52.25	26.75	20.6936875	32.1509375	2	794.25	744.5	794.25	599.2	476.333333333333	732.5	187.45	53.371875	317.583333333333	0	1256.20833333333	1213.2425	1303.65041666667	1235.275	1202.97375	1248.0875	24.1	-22.2584375	81.4971875000005
Pied Bushchat	2	333.025	324.9909375	346.393125	265.75	248.666666666667	280.52125	67.8625	50.39	88.8596875	2	1459.33333333333	1442.83333333333	1505.83	873.5	851.25	911.25	588.645833333333	542.615625	644.851875	2	2248	2248	2248	2215.81666666667	2210.65	2218.35	32.1833333333334	29.6500000000001	37.3499999999999
Asian Emerald Dove	0	63.8395833333333	55.25	72.725625	65.025	55.848125	69.4191875	-0.614583333333329	-10.3376041666667	11.0878125	1	771.5	726	797.5	860.375	795.875	896.40625	-86.5	-148.877916666667	-20.4739583333334	2	1702.41666666667	1676.10791666667	1724.4	1648.8175	1630.6	1649.8	54.2666666666663	27.3482916666663	81.1304374999997
Malabar Trogon	0	55.25	55.25	58.3125	55.25	53.3025	55.25	0	0	3.85020833333333	0	676.625	591.75	709.75	550.25	470.967708333333	650.625	112.708333333333	-7.29687500000007	209.646875	0	1354.125	1311.33333333333	1356	1344.5	1313.24791666667	1357.1	2.04166666666663	-38.8999999999999	41.4223958333332
Heart-spotted Woodpecker	1	34.00625	31.3671875	42.5195	47.4375	46	51.6783333333333	-13.25	-18.9516666666667	-5.3095625	0	507.875	437.75	591.75	478.958333333333	266.478125	530	52	-62.2525	256.9	2	1219.45	1205.75	1228.7	1140.37083333333	1094.81072916667	1163.9875	75.0333333333331	46.8465624999999	123.45
